,price,kms_driven,owner,age,power,brand
0,35000.0,17654.0,1,3.0,110.0,0
1,119900.0,11000.0,1,4.0,350.0,1
2,600000.0,110.0,1,8.0,675.0,2
3,65000.0,16329.0,1,4.0,180.0,0
4,80000.0,10000.0,1,3.0,150.0,3
5,53499.0,25000.0,1,6.0,150.0,3
6,85000.0,8200.0,1,3.0,160.0,4
7,45000.0,12645.0,1,3.0,100.0,5
8,145000.0,9190.0,1,3.0,350.0,1
9,88000.0,19000.0,2,7.0,500.0,1
10,72000.0,20000.0,1,7.0,150.0,3
11,95000.0,9665.0,1,4.0,250.0,3
12,78000.0,9900.0,1,4.0,200.0,6
13,29499.0,20000.0,1,8.0,100.0,6
14,29900.0,20000.0,1,7.0,125.0,6
15,90000.0,11574.0,1,3.0,200.0,6
16,120000.0,23000.0,1,3.0,200.0,6
17,48000.0,24725.0,1,5.0,150.0,7
18,240000.0,15025.0,2,3.0,302.0,8
19,46500.0,3500.0,1,2.0,110.0,5
20,121700.0,24520.0,1,5.0,500.0,1
21,45000.0,23000.0,1,6.0,150.0,3
22,20000.0,29305.0,1,16.0,125.0,5
23,20800.0,30500.0,2,7.0,125.0,4
24,50000.0,19000.0,1,8.0,150.0,6
25,81200.0,9100.0,1,2.0,160.0,4
26,88000.0,21914.0,1,3.0,200.0,6
27,80000.0,20000.0,2,4.0,150.0,3
28,40900.0,15000.0,1,6.0,220.0,6
29,180000.0,17700.0,1,4.0,390.0,9
30,40000.0,30000.0,1,8.0,150.0,4
31,70000.0,100000.0,2,8.0,200.0,9
32,98800.0,39000.0,1,5.0,350.0,1
33,65000.0,43000.0,1,6.0,150.0,4
34,190500.0,4550.0,1,2.0,500.0,1
35,179000.0,3400.0,1,2.0,200.0,9
36,70000.0,45000.0,1,8.0,350.0,1
37,45000.0,36100.0,1,6.0,220.0,6
38,78000.0,8500.0,1,13.0,350.0,1
39,110000.0,2550.0,1,2.0,220.0,6
40,85000.0,18000.0,1,6.0,350.0,1
41,38000.0,35000.0,1,9.0,200.0,6
42,55346.0,38000.0,1,10.0,350.0,1
43,28000.0,45000.0,1,2.0,110.0,10
44,37000.0,10800.0,1,8.0,150.0,5
45,97000.0,4400.0,1,3.0,150.0,7
46,40000.0,357000.0,1,8.0,150.0,3
47,90000.0,15300.0,1,7.0,350.0,1
48,60000.0,30000.0,1,5.0,160.0,0
49,21900.0,30000.0,2,7.0,125.0,4
50,40000.0,64000.0,1,7.0,220.0,6
51,475000.0,11500.0,2,3.0,600.0,8
52,34500.0,17056.0,1,5.0,110.0,4
53,25000.0,172082.0,1,9.0,150.0,3
54,30200.0,45000.0,1,7.0,150.0,7
55,65000.0,35000.0,1,5.0,220.0,6
56,25000.0,38000.0,1,9.0,150.0,6
57,935000.0,2500.0,1,2.0,900.0,11
58,107100.0,15438.0,2,3.0,350.0,1
59,80000.0,6000.0,1,3.0,220.0,6
60,88000.0,19000.0,1,5.0,350.0,1
61,94700.0,32700.0,1,4.0,200.0,9
62,12200.0,46643.0,1,14.0,100.0,5
63,106000.0,19000.0,1,6.0,350.0,1
64,29500.0,40700.0,1,12.0,220.0,6
65,290000.0,11350.0,1,7.0,650.0,11
66,110000.0,1600.0,1,6.0,350.0,1
67,27000.0,44410.0,1,10.0,125.0,6
68,65000.0,9800.0,1,11.0,350.0,1
69,150000.0,15000.0,1,3.0,350.0,1
70,55786.0,68000.0,2,7.0,223.0,5
71,45000.0,17757.0,1,8.0,180.0,6
72,146000.0,3900.0,1,2.0,250.0,3
73,115000.0,23700.0,1,4.0,350.0,1
74,30000.0,8250.0,1,3.0,100.0,6
75,93100.0,10000.0,1,5.0,200.0,6
76,82000.0,4300.0,2,3.0,150.0,3
77,260000.0,3800.0,1,2.0,650.0,1
78,38000.0,33000.0,1,7.0,125.0,4
79,130000.0,17500.0,2,4.0,250.0,9
80,118000.0,19000.0,1,4.0,410.0,1
81,14700.0,10000.0,1,11.0,135.0,6
82,85000.0,54000.0,1,6.0,350.0,1
83,40000.0,27000.0,1,7.0,220.0,6
84,50000.0,19000.0,1,6.0,150.0,3
85,71800.0,43500.0,1,7.0,350.0,1
86,75000.0,11575.0,1,4.0,200.0,6
87,1350000.0,190.0,1,1.0,1100.0,12
88,790000.0,19000.0,1,3.0,765.0,2
89,47000.0,8600.0,1,4.0,150.0,6
90,60000.0,2000.0,1,2.0,150.0,6
91,96700.0,5100.0,1,1.0,150.0,7
92,31900.0,9000.0,1,5.0,100.0,5
93,35000.0,44480.0,1,13.0,150.0,6
94,240000.0,11000.0,1,3.0,390.0,9
95,68000.0,16000.0,1,7.0,250.0,4
96,80000.0,26691.0,1,5.0,200.0,6
97,135000.0,45000.0,1,5.0,350.0,1
98,11100.0,12000.0,3,12.0,150.0,6
99,480000.0,14200.0,1,4.0,600.0,8
100,65000.0,41000.0,1,3.0,150.0,7
101,60000.0,15000.0,1,5.0,150.0,3
102,80000.0,12314.0,1,4.0,150.0,4
103,46000.0,11760.0,1,3.0,100.0,5
104,95000.0,22000.0,1,11.0,500.0,1
105,400000.0,1800.0,1,4.0,650.0,13
106,55000.0,4400.0,1,4.0,150.0,6
107,63000.0,16000.0,1,5.0,150.0,3
108,51000.0,9000.0,1,4.0,150.0,6
109,69900.0,8700.0,1,3.0,160.0,0
